department,awareness,desire,knowledge,ability,reinforcement
Production,3,2,1,2,3
Production,3,3,3,3,1
Production,2,1,2,3,4
Production,1,3,1,3,4
Production,4,5,5,5,2
Production,2,4,1,4,4
Production,3,4,2,4,4
Production,3,1,5,4,4
Production,2,1,1,2,2
Production,1,3,1,2,5
Production,1,3,3,3,2
Production,2,5,4,2,3
Production,3,2,2,5,2
Production,4,5,3,1,3
Production,3,3,2,1,4
Production,4,5,2,1,1
Production,5,4,3,5,5
Production,5,5,2,5,1
Production,5,5,2,5,3
Production,5,1,5,5,1
Production,4,3,2,1,5
Production,3,4,2,1,2
Production,1,2,1,5,5
Production,5,5,1,4,2
Production,1,1,2,1,5
Production,2,2,2,3,4
Production,4,2,1,3,1
Production,5,3,3,5,5
Production,1,3,2,1,5
Production,4,3,5,2,5
Maintenance,4,4,3,3,4
Maintenance,2,3,2,4,1
Maintenance,1,5,4,4,2
Maintenance,4,3,4,2,1
Maintenance,4,1,2,4,2
Maintenance,3,1,2,1,2
Maintenance,5,1,2,1,5
Maintenance,1,5,5,3,2
Maintenance,4,5,1,2,5
Maintenance,5,2,5,5,2
Maintenance,5,1,5,3,3
Maintenance,5,3,3,2,5
Maintenance,5,2,5,4,4
Maintenance,4,1,4,4,3
Maintenance,3,4,5,5,5
Maintenance,3,3,5,1,2
Maintenance,3,5,3,2,2
Maintenance,4,2,4,3,5
Maintenance,5,4,2,3,1
Maintenance,2,2,5,2,3
Maintenance,1,4,5,4,4
Maintenance,5,1,1,1,1
Maintenance,3,2,4,3,2
Maintenance,1,3,1,5,2
Maintenance,4,4,2,4,1
Maintenance,4,2,5,1,1
Maintenance,2,5,1,5,2
Maintenance,5,3,5,5,4
Maintenance,2,5,5,3,4
Maintenance,3,3,3,1,4
Quality,1,1,2,5,3
Quality,2,2,3,5,5
Quality,5,2,5,1,2
Quality,5,2,4,5,2
Quality,4,3,4,1,2
Quality,3,3,2,2,3
Quality,4,1,1,5,1
Quality,1,1,1,1,4
Quality,2,2,1,5,1
Quality,4,3,1,5,1
Quality,2,4,1,3,3
Quality,3,2,1,3,4
Quality,2,4,3,3,3
Quality,1,2,5,1,1
Quality,3,2,3,4,4
Quality,1,1,3,3,4
Quality,2,4,3,5,1
Quality,3,5,5,4,1
Quality,3,3,4,3,1
Quality,4,1,3,3,4
Quality,2,2,5,4,2
Quality,2,3,4,3,1
Quality,5,1,5,3,5
Quality,3,2,3,5,3
Quality,5,2,3,2,5
Quality,1,1,4,2,1
Quality,1,2,4,5,5
Quality,5,4,1,2,1
Quality,4,2,1,2,5
Quality,4,3,4,1,5
Logistics,5,2,3,5,2
Logistics,1,5,2,5,3
Logistics,1,1,3,1,1
Logistics,5,4,3,1,1
Logistics,4,5,4,3,5
Logistics,4,4,4,3,4
Logistics,3,4,3,3,1
Logistics,1,1,3,3,3
Logistics,3,3,3,3,2
Logistics,4,1,5,2,4
Logistics,4,5,3,1,1
Logistics,4,5,1,2,3
Logistics,3,3,2,1,5
Logistics,3,5,1,1,2
Logistics,5,5,5,3,2
Logistics,4,5,4,2,5
Logistics,1,4,1,5,5
Logistics,2,4,2,4,3
Logistics,3,4,5,5,4
Logistics,4,4,3,4,1
Logistics,3,3,2,3,2
Logistics,5,5,3,3,4
Logistics,4,1,4,4,5
Logistics,4,2,1,4,5
Logistics,2,3,5,1,3
Logistics,1,4,1,3,2
Logistics,4,1,1,3,3
Logistics,4,1,5,4,2
Logistics,5,3,2,4,5
Logistics,5,3,5,1,5
IT,2,1,3,5,3
IT,4,3,5,5,2
IT,1,5,4,2,3
IT,2,5,1,2,4
IT,3,3,5,4,3
IT,2,3,4,3,1
IT,1,4,2,5,1
IT,1,5,3,2,2
IT,2,3,1,4,5
IT,5,5,3,5,2
IT,3,1,5,2,5
IT,5,2,5,2,2
IT,1,1,1,3,1
IT,3,1,2,1,5
IT,3,4,4,2,5
IT,1,2,5,4,1
IT,2,1,1,2,5
IT,2,1,2,2,3
IT,1,1,4,3,3
IT,4,1,2,5,2
IT,2,2,1,1,1
IT,4,1,1,4,3
IT,5,2,3,5,5
IT,3,5,2,3,3
IT,4,1,3,1,3
IT,3,4,1,1,1
IT,5,4,3,2,2
IT,5,2,4,2,1
IT,3,5,5,4,2
IT,5,5,3,4,4
